frame,fps,num_tracks,counts_json
0,0.05,6,"{""person"": 6}"
1,0.374,6,"{""person"": 6}"
2,1.045,6,"{""person"": 6}"
3,1.735,6,"{""person"": 6}"
4,2.263,6,"{""person"": 6}"
5,3.011,8,"{""person"": 8}"
6,3.633,8,"{""person"": 8}"
7,4.196,8,"{""person"": 8}"
8,4.721,8,"{""person"": 8}"
9,5.263,9,"{""person"": 9}"
10,5.558,8,"{""person"": 8}"
11,5.862,9,"{""person"": 8, ""bicycle"": 1}"
12,5.976,10,"{""person"": 9, ""bicycle"": 1}"
13,6.317,10,"{""person"": 9, ""bicycle"": 1}"
14,6.667,10,"{""person"": 9, ""bicycle"": 1}"
15,6.919,11,"{""person"": 10, ""bicycle"": 1}"
16,7.249,11,"{""person"": 10, ""bicycle"": 1}"
17,7.496,11,"{""person"": 10, ""bicycle"": 1}"
18,7.683,12,"{""person"": 11, ""bicycle"": 1}"
19,7.809,12,"{""person"": 10, ""bicycle"": 1, ""fire hydrant"": 1}"
20,7.981,13,"{""person"": 12, ""bicycle"": 1}"
21,8.0,13,"{""person"": 12, ""bicycle"": 1}"
22,7.862,13,"{""person"": 12, ""bicycle"": 1}"
23,8.076,12,"{""person"": 11, ""bicycle"": 1}"
24,7.991,12,"{""person"": 11, ""bicycle"": 1}"
25,8.251,12,"{""person"": 11, ""bicycle"": 1}"
26,8.373,12,"{""person"": 11, ""bicycle"": 1}"
27,8.52,13,"{""person"": 12, ""bicycle"": 1}"
28,8.638,13,"{""person"": 12, ""bicycle"": 1}"
29,8.574,12,"{""person"": 11, ""bicycle"": 1}"
30,8.694,11,"{""person"": 10, ""bicycle"": 1}"
31,8.838,11,"{""person"": 10, ""motorcycle"": 1}"
32,8.841,12,"{""person"": 11, ""bicycle"": 1}"
33,8.916,13,"{""person"": 12, ""bicycle"": 1}"
34,8.936,13,"{""person"": 12, ""bicycle"": 1}"
35,8.943,12,"{""person"": 11, ""bicycle"": 1}"
36,8.913,12,"{""person"": 11, ""bicycle"": 1}"
37,9.107,12,"{""person"": 11, ""bicycle"": 1}"
38,9.232,13,"{""person"": 12, ""bicycle"": 1}"
39,9.389,12,"{""person"": 11, ""bicycle"": 1}"
40,9.393,12,"{""person"": 11, ""bicycle"": 1}"
41,9.383,12,"{""person"": 10, ""bicycle"": 2}"
42,9.388,12,"{""person"": 11, ""bicycle"": 1}"
43,9.422,12,"{""person"": 11, ""bicycle"": 1}"
44,9.501,12,"{""person"": 11, ""bicycle"": 1}"
45,9.54,12,"{""person"": 11, ""bicycle"": 1}"
46,9.464,12,"{""person"": 11, ""bicycle"": 1}"
47,9.525,12,"{""person"": 11, ""bicycle"": 1}"
48,9.328,12,"{""person"": 11, ""bicycle"": 1}"
49,9.357,12,"{""person"": 11, ""bicycle"": 1}"
50,9.425,12,"{""person"": 11, ""bicycle"": 1}"
51,9.367,12,"{""person"": 11, ""bicycle"": 1}"
52,9.357,12,"{""person"": 11, ""bicycle"": 1}"
53,9.344,12,"{""person"": 11, ""bicycle"": 1}"
54,9.172,12,"{""person"": 11, ""bicycle"": 1}"
55,8.928,12,"{""person"": 11, ""bicycle"": 1}"
56,8.689,12,"{""person"": 11, ""bicycle"": 1}"
57,8.482,12,"{""person"": 11, ""bicycle"": 1}"
58,8.311,12,"{""person"": 11, ""bicycle"": 1}"
59,8.256,12,"{""person"": 11, ""motorcycle"": 1}"
60,8.081,12,"{""person"": 11, ""motorcycle"": 1}"
61,8.244,12,"{""person"": 11, ""bicycle"": 1}"
62,8.459,12,"{""person"": 11, ""bicycle"": 1}"
63,8.721,12,"{""person"": 11, ""bicycle"": 1}"
64,8.958,12,"{""person"": 11, ""bicycle"": 1}"
65,9.028,12,"{""person"": 11, ""bicycle"": 1}"
66,9.07,10,"{""person"": 9, ""bicycle"": 1}"
67,9.221,10,"{""person"": 9, ""motorcycle"": 1}"
68,9.351,10,"{""person"": 9, ""motorcycle"": 1}"
69,9.529,10,"{""person"": 9, ""motorcycle"": 1}"
70,9.697,9,"{""person"": 8, ""bicycle"": 1}"
71,9.725,11,"{""person"": 10, ""motorcycle"": 1}"
72,9.552,11,"{""person"": 10, ""motorcycle"": 1}"
73,9.542,10,"{""person"": 9, ""motorcycle"": 1}"
74,9.449,10,"{""person"": 9, ""motorcycle"": 1}"
75,9.423,10,"{""person"": 9, ""motorcycle"": 1}"
76,9.527,10,"{""person"": 9, ""motorcycle"": 1}"
77,9.619,9,"{""person"": 8, ""bicycle"": 1}"
78,9.646,9,"{""person"": 8, ""motorcycle"": 1}"
79,9.682,9,"{""person"": 8, ""bicycle"": 1}"
80,9.49,9,"{""person"": 8, ""motorcycle"": 1}"
81,9.302,9,"{""person"": 8, ""motorcycle"": 1}"
82,9.185,9,"{""person"": 8, ""bicycle"": 1}"
83,9.453,9,"{""person"": 8, ""bicycle"": 1}"
84,9.298,9,"{""person"": 8, ""motorcycle"": 1}"
85,9.402,8,"{""person"": 7, ""bicycle"": 1}"
86,9.337,9,"{""person"": 8, ""bicycle"": 1}"
87,9.671,9,"{""person"": 8, ""bicycle"": 1}"
88,9.702,10,"{""person"": 9, ""motorcycle"": 1}"
89,9.694,10,"{""person"": 9, ""bicycle"": 1}"
90,9.748,10,"{""person"": 9, ""bicycle"": 1}"
91,9.715,10,"{""person"": 9, ""bicycle"": 1}"
92,9.692,10,"{""person"": 9, ""motorcycle"": 1}"
93,9.641,10,"{""person"": 9, ""motorcycle"": 1}"
94,9.452,10,"{""person"": 9, ""motorcycle"": 1}"
95,9.326,9,"{""person"": 8, ""motorcycle"": 1}"
96,9.125,9,"{""person"": 8, ""motorcycle"": 1}"
97,9.147,10,"{""person"": 9, ""motorcycle"": 1}"
98,9.136,10,"{""person"": 9, ""motorcycle"": 1}"
99,9.091,10,"{""person"": 9, ""motorcycle"": 1}"
100,9.242,10,"{""person"": 9, ""motorcycle"": 1}"
101,9.334,10,"{""person"": 9, ""motorcycle"": 1}"
102,9.33,10,"{""person"": 9, ""motorcycle"": 1}"
103,9.407,10,"{""person"": 9, ""motorcycle"": 1}"
104,9.462,11,"{""person"": 10, ""motorcycle"": 1}"
105,9.607,11,"{""person"": 10, ""motorcycle"": 1}"
106,9.644,11,"{""person"": 10, ""motorcycle"": 1}"
107,9.697,11,"{""person"": 10, ""motorcycle"": 1}"
108,9.524,11,"{""person"": 10, ""bicycle"": 1}"
109,9.605,10,"{""person"": 9, ""bicycle"": 1}"
110,9.572,10,"{""person"": 9, ""bicycle"": 1}"
111,9.646,10,"{""person"": 9, ""bicycle"": 1}"
112,9.62,10,"{""person"": 9, ""bicycle"": 1}"
113,9.575,10,"{""person"": 9, ""bicycle"": 1}"
114,9.669,10,"{""person"": 9, ""bicycle"": 1}"
115,9.508,11,"{""person"": 10, ""bicycle"": 1}"
116,9.395,11,"{""person"": 10, ""bicycle"": 1}"
117,9.583,11,"{""person"": 10, ""bicycle"": 1}"
118,9.622,11,"{""person"": 10, ""bicycle"": 1}"
119,9.729,11,"{""person"": 10, ""bicycle"": 1}"
120,9.54,11,"{""person"": 10, ""motorcycle"": 1}"
121,9.697,11,"{""person"": 10, ""bicycle"": 1}"
122,8.961,11,"{""person"": 10, ""motorcycle"": 1}"
123,9.262,11,"{""person"": 10, ""motorcycle"": 1}"
124,9.396,11,"{""person"": 10, ""motorcycle"": 1}"
125,9.353,10,"{""person"": 9, ""bicycle"": 1}"
126,9.422,10,"{""person"": 9, ""bicycle"": 1}"
127,9.552,10,"{""person"": 9, ""motorcycle"": 1}"
128,9.431,10,"{""person"": 9, ""bicycle"": 1}"
129,9.612,10,"{""person"": 9, ""bicycle"": 1}"
130,9.715,10,"{""person"": 9, ""bicycle"": 1}"
131,9.84,10,"{""person"": 9, ""bicycle"": 1}"
132,9.769,10,"{""person"": 9, ""bicycle"": 1}"
133,9.894,10,"{""person"": 9, ""bicycle"": 1}"
134,10.07,10,"{""person"": 9, ""bicycle"": 1}"
135,10.292,10,"{""person"": 9, ""bicycle"": 1}"
136,10.365,10,"{""person"": 9, ""bicycle"": 1}"
137,10.412,10,"{""person"": 9, ""bicycle"": 1}"
138,10.479,10,"{""person"": 9, ""bicycle"": 1}"
139,10.561,10,"{""person"": 9, ""bicycle"": 1}"
140,10.645,10,"{""person"": 9, ""bicycle"": 1}"
141,10.769,9,"{""person"": 9}"
142,10.817,9,"{""person"": 9}"
143,10.628,9,"{""person"": 9}"
144,10.334,8,"{""person"": 8}"
145,10.467,9,"{""person"": 9}"
146,10.633,9,"{""person"": 9}"
147,10.937,9,"{""person"": 9}"
148,11.1,9,"{""person"": 9}"
149,11.164,9,"{""person"": 9}"
150,11.231,9,"{""person"": 9}"
151,11.237,10,"{""person"": 10}"
152,11.08,10,"{""person"": 10}"
153,11.167,10,"{""person"": 10}"
154,11.282,10,"{""person"": 10}"
155,11.253,10,"{""person"": 10}"
156,11.05,10,"{""person"": 10}"
157,11.158,10,"{""person"": 10}"
158,11.287,10,"{""person"": 10}"
159,11.355,10,"{""person"": 10}"
160,11.406,10,"{""person"": 10}"
161,11.473,10,"{""person"": 10}"
162,11.541,10,"{""person"": 10}"
163,11.463,9,"{""person"": 9}"
164,11.467,9,"{""person"": 9}"
165,11.503,9,"{""person"": 9}"
166,11.565,9,"{""person"": 9}"
167,11.418,9,"{""person"": 9}"
168,11.147,9,"{""person"": 9}"
169,11.259,8,"{""person"": 8}"
170,11.254,9,"{""person"": 9}"
171,11.278,9,"{""person"": 9}"
172,11.373,9,"{""person"": 9}"
173,11.438,9,"{""person"": 9}"
174,11.43,9,"{""person"": 9}"
175,11.257,9,"{""person"": 9}"
176,11.22,9,"{""person"": 9}"
177,11.302,9,"{""person"": 9}"
178,10.554,9,"{""person"": 9}"
179,10.581,9,"{""person"": 9}"
180,10.312,9,"{""person"": 9}"
181,10.348,9,"{""person"": 9}"
182,10.451,9,"{""person"": 9}"
183,10.564,9,"{""person"": 9}"
184,10.764,9,"{""person"": 9}"
185,10.797,9,"{""person"": 9}"
186,10.81,9,"{""person"": 9}"
187,10.742,9,"{""person"": 9}"
188,10.732,9,"{""person"": 9}"
189,10.887,9,"{""person"": 9}"
190,11.025,8,"{""person"": 8}"
191,11.068,8,"{""person"": 8}"
192,10.881,8,"{""person"": 8}"
193,11.036,8,"{""person"": 8}"
194,11.133,8,"{""person"": 8}"
195,11.17,8,"{""person"": 8}"
196,11.261,8,"{""person"": 8}"
197,11.285,8,"{""person"": 8}"
198,11.326,8,"{""person"": 8}"
199,11.318,8,"{""person"": 8}"
200,11.245,8,"{""person"": 8}"
201,11.21,8,"{""person"": 8}"
202,11.088,8,"{""person"": 8}"
203,11.166,8,"{""person"": 8}"
204,10.903,8,"{""person"": 8}"
205,11.056,7,"{""person"": 7}"
206,11.077,7,"{""person"": 7}"
207,11.137,7,"{""person"": 7}"
208,11.097,7,"{""person"": 7}"
209,11.044,7,"{""person"": 7}"
210,11.038,7,"{""person"": 7}"
211,11.116,7,"{""person"": 7}"
212,11.089,7,"{""person"": 7}"
213,11.111,8,"{""person"": 8}"
214,11.105,8,"{""person"": 8}"
215,11.028,8,"{""person"": 8}"
216,10.736,7,"{""person"": 7}"
217,10.729,7,"{""person"": 7}"
218,10.781,7,"{""person"": 7}"
219,10.731,7,"{""person"": 7}"
220,10.753,7,"{""person"": 7}"
221,10.509,7,"{""person"": 7}"
222,10.386,7,"{""person"": 7}"
223,10.531,7,"{""person"": 7}"
224,10.555,7,"{""person"": 7}"
225,10.72,7,"{""person"": 7}"
226,10.754,7,"{""person"": 7}"
227,10.857,7,"{""person"": 7}"
228,10.57,7,"{""person"": 7}"
229,10.493,7,"{""person"": 7}"
230,10.491,7,"{""person"": 7}"
231,10.567,7,"{""person"": 7}"
232,10.728,7,"{""person"": 7}"
233,10.805,8,"{""person"": 8}"
234,10.882,8,"{""person"": 8}"
235,11.086,8,"{""person"": 8}"
236,11.218,8,"{""person"": 8}"
237,11.117,8,"{""person"": 8}"
238,11.047,8,"{""person"": 8}"
239,10.912,8,"{""person"": 7, ""motorcycle"": 1}"
240,10.71,8,"{""person"": 7, ""motorcycle"": 1}"
241,10.707,8,"{""person"": 7, ""motorcycle"": 1}"
242,10.76,8,"{""person"": 7, ""motorcycle"": 1}"
243,10.696,8,"{""person"": 8}"
244,10.713,7,"{""person"": 7}"
245,10.733,8,"{""person"": 8}"
246,10.693,8,"{""person"": 8}"
247,10.69,8,"{""person"": 8}"
248,10.79,8,"{""person"": 8}"
249,10.917,8,"{""person"": 8}"
250,10.889,8,"{""person"": 8}"
251,10.835,8,"{""person"": 8}"
252,10.639,8,"{""person"": 8}"
253,10.523,8,"{""person"": 8}"
254,10.552,8,"{""person"": 8}"
255,10.554,8,"{""person"": 8}"
256,10.326,7,"{""person"": 7}"
257,10.458,7,"{""person"": 7}"
258,10.531,8,"{""person"": 8}"
259,10.593,8,"{""person"": 8}"
260,10.604,8,"{""person"": 8}"
261,10.628,8,"{""person"": 8}"
262,10.584,8,"{""person"": 8}"
263,10.57,8,"{""person"": 8}"
264,10.389,8,"{""person"": 8}"
265,10.501,7,"{""person"": 7}"
266,10.56,7,"{""person"": 7}"
267,10.633,7,"{""person"": 7}"
268,10.682,7,"{""person"": 7}"
269,10.716,7,"{""person"": 7}"
270,10.687,7,"{""person"": 7}"
271,10.823,7,"{""person"": 7}"
272,10.818,7,"{""person"": 7}"
273,10.769,8,"{""person"": 8}"
274,10.782,8,"{""person"": 8}"
275,10.894,8,"{""person"": 8}"
276,10.686,8,"{""person"": 8}"
277,10.7,8,"{""person"": 8}"
278,10.598,8,"{""person"": 8}"
279,10.63,8,"{""person"": 8}"
280,10.691,8,"{""person"": 8}"
281,10.764,8,"{""person"": 8}"
282,10.801,9,"{""person"": 9}"
283,10.905,9,"{""person"": 9}"
284,11.015,9,"{""person"": 9}"
285,11.122,9,"{""person"": 9}"
286,11.053,9,"{""person"": 9}"
287,10.896,9,"{""person"": 9}"
288,10.652,9,"{""person"": 9}"
289,10.628,9,"{""person"": 9}"
290,10.465,9,"{""person"": 9}"
291,10.549,9,"{""person"": 9}"
292,10.485,9,"{""person"": 9}"
293,10.433,9,"{""person"": 9}"
294,10.294,9,"{""person"": 9}"
295,10.167,11,"{""person"": 11}"
296,10.076,11,"{""person"": 11}"
297,10.031,11,"{""person"": 11}"
298,10.026,11,"{""person"": 11}"
299,9.867,11,"{""person"": 11}"
300,9.591,11,"{""person"": 11}"
301,9.376,11,"{""person"": 11}"
